ID,Award,GrammyYear,Genre,Album,Artist
152,Best World Music Album,2015,World Music,Sings,"ean Hébrail & Angelique Kidjo, producer"
153,Best Children's Album,2015,Children's,Home,"ominic Fallacaro, produce"
154,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2015,Spoken Word,A Full Life: Reflections at Ninety,"lisa Shokoff, produce"
155,Best Comedy Album,2015,Comedy,Live At Madison Square Garden,"ave Becky, Mike Berkowitz & M. Blair Breard, producer"
156,Best Musical Theater Album,2015,Musical Theater,Hamilton,"aveed Diggs, Renée Elise Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Cephas Jones, Leslie Odom, Jr., Lin-Manuel Miranda, Okieriete Onaodowan, Anthony Ramos & Phillipa Soo, principal soloists; Lin-Manuel Miranda, composer & lyricist; Alex Lacamoire, Lin-Manuel Miranda, Bill Sherman, Ahmir Thompson & Tarik Trotter, producers; Tim Latham & Derik Lee, engineers (Original Broadway Cast"
157,Best Album Notes,2015,Notes,"Love Has Many Faces: A Quartet, A Ballet, Waiting To Be Danced","oni Mitchell, album notes writer (Joni Mitchell"
158,Best Historical Album,2015,Historical,The Basement Tapes Complete: The Bootleg Series Vol. 11,"teve Berkowitz, Jan Haust & Jeff Rosen, compilation producers; Peter J. Moore & Mark Wilder, mastering engineers (Bob Dylan And The Band"
159,"Best Engineered Album, Non-Classical",2015,"Production, Non-Classical",Sound & Color,"hawn Everett, engineer; Bob Ludwig, mastering engineer (Alabama Shakes"
160,Best Surround Sound Album,2015,"Production, Immersive Audio",Amused To Death,"ames Guthrie, surround mix engineer; James Guthrie & Joel Plante, surround mastering engineers; James Guthrie, surround producer (Roger Waters"
161,"Best Engineered Album, Classical",2015,"Production, Classical",Ask Your Mama,"eslie Ann Jones, John Kilgore, Nora Kroll-Rosenbaum & Justin Merrill, engineers; Patricia Sullivan, mastering engineer (George Manahan & San Francisco Ballet Orchestra"
162,Best Classical Solo Vocal Album,2015,Classical,Joyce & Tony - Live From Wigmore Hall,"oyce DiDonato, soloist; Stephen Johns, producer; Jonathan Allen, enginee"
163,Album Of The Year,2014,General,Morning Phase,Beck
164,Best Traditional Pop Vocal Album,2014,Traditional Pop,Cheek To Cheek,Tony Bennett
165,Best Pop Vocal Album,2014,Pop,In The Lonely Hour,Sam Smith
166,Best Dance/Electronic Album,2014,Dance/Electronic Music,Syro,Aphex Twin
167,Best Contemporary Instrumental Album,2014,Contemporary Instrumental Music,Bass & Mandolin,Chris Thile
168,Best Rock Album,2014,Rock,Morning Phase,
169,Best Alternative Music Album,2014,Alternative,St. Vincent,St. Vincent
170,Best Urban Contemporary Album,2014,R&B,Girl,Pharrell Williams
171,Best R&B Album,2014,R&B,"Love, Marriage & Divorce",Toni Braxton
172,Best Rap Album,2014,Rap,The Marshall Mathers LP2,Eminem
173,Best Country Album,2014,Country,Platinum,Miranda Lambert
174,Best New Age Album,2014,New Age,Winds Of Samsara,Ricky Kej
175,Best Jazz Vocal Album,2014,Jazz,Beautiful Life,Dianne Reeves
176,Best Jazz Instrumental Album,2014,Jazz,Trilogy,Chick Corea Trio
177,Best Large Jazz Ensemble Album,2014,Jazz,Life In The Bubble,Gordon Goodwin's Big Phat Band
178,Best Latin Jazz Album,2014,Jazz,The Offense Of The Drum,Arturo O'Farrill & The Afro Latin Jazz Orchestra
179,Best Gospel Album,2014,Gospel/Contemporary Christian Music,Help,Erica Campbell
180,Best Contemporary Christian Music Album,2014,Gospel/Contemporary Christian Music,Run Wild. Live Free. Love Strong.,For King & Country
181,Best Roots Gospel Album,2014,Gospel/Contemporary Christian Music,Shine For All The People,Mike Farris
182,Best Latin Pop Album,2014,Latin,Tangos,Rubén Blades
183,"Best Latin Rock, Urban or Alternative Album",2014,Latin,Multiviral,Calle 13
184,Best Regional Mexican Music Album (Including Tejano),2014,Latin,Mano A Mano - Tangos A La Manera De Vicente Fernández,Vicente Fernández
185,Best Tropical Latin Album,2014,Latin,Más + Corazón Profundo,Carlos Vives
186,Best Americana Album,2014,American Roots Music,The River & The Thread,Rosanne Cash
187,Best Bluegrass Album,2014,American Roots Music,The Earls Of Leicester,The Earls Of Leicester
188,Best Blues Album,2014,American Roots Music,Step Back,Johnny Winter
189,Best Folk Album,2014,American Roots Music,Remedy,Old Crow Medicine Show
190,Best Regional Roots Music Album,2014,American Roots Music,The Legacy,Jo-EL Sonnier
191,Best Reggae Album,2014,Reggae,Fly Rasta,Ziggy Marley
192,Best World Music Album,2014,World Music,Eve,Angelique Kidjo
193,Best Children's Album,2014,Children's,I Am Malala: How One Girl Stood Up For Education And Changed The World (Malala Yousafzai),Neela Vaswani
194,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2014,Spoken Word,Diary Of A Mad Diva,Joan Rivers
195,Best Comedy Album,2014,Comedy,Mandatory Fun,Weird Al Yankovic
196,Best Musical Theater Album,2014,Musical Theater,Beautiful: The Carole King Musical,Original Broadway Cast
197,Best Album Notes,2014,Notes,Offering: Live At Temple University,John Coltrane
198,Best Historical Album,2014,Historical,"The Garden Spot Programs, 1950",Hank Williams
199,"Best Engineered Album, Non-Classical",2014,"Production, Non-Classical",Morning Phase,Beck
200,Best Surround Sound Album,2014,"Production, Immersive Audio",Beyoncé,Beyoncé
201,"Best Engineered Album, Classical",2014,"Production, Classical",Vaughan Williams: Dona Nobis Pacem; Symphony No. 4; The Lark Ascending,"Robert Spano, Norman Mackenzie, Atlanta Symphony Orchestra & Chorus"
202,Best Classical Solo Vocal Album,2014,Classical,Douce France,Anne Sofie Von Otter
203,Album Of The Year,2013,General,Random Access Memories,Daft Punk
204,Best Pop Instrumental Album,2013,Pop,Steppin' Out,Herb Alpert
205,Best Pop Vocal Album,2013,Pop,Unorthodox Jukebox,Bruno Mars
206,Best Dance/Electronica Album,2013,Dance/Electronic Music,Random Access Memories,Daft Punk
207,Best Traditional Pop Vocal Album,2013,Traditional Pop,To Be Loved,Michael Bublé
208,Best Rock Album,2013,Rock,Celebration Day,Led Zeppelin
209,Best Alternative Music Album,2013,Alternative,Modern Vampires Of The City,Vampire Weekend
210,Best Urban Contemporary Album,2013,R&B,Unapologetic,Rihanna
211,Best R&B Album,2013,R&B,Girl On Fire,Alicia Keys
212,Best Rap Album,2013,Rap,The Heist,Ryan Lewis
213,Best Country Album,2013,Country,Same Trailer Different Park,Kacey Musgraves
214,Best New Age Album,2013,New Age,Love's River,Laura Sullivan
215,Best Jazz Vocal Album,2013,Jazz,Liquid Spirit,Gregory Porter
216,Best Jazz Instrumental Album,2013,Jazz,Money Jungle: Provocative In Blue,Terri Lyne Carrington
217,Best Large Jazz Ensemble Album,2013,Jazz,Night In Calisia,Randy Brecker
218,Best Latin Jazz Album,2013,Jazz,Song For Maura,Paquito D'Rivera
219,Best Gospel Album,2013,Gospel/Contemporary Christian Music,Greater Than [Live],Tye Tribbett
220,Best Contemporary Christian Music Album,2013,Gospel/Contemporary Christian Music,Overcomer,Mandisa
221,Best Latin Pop Album,2013,Latin,Vida,Draco Rosa
222,"Best Latin Rock, Urban or Alternative Album",2013,Latin,Treinta Días,La Santa Cecilia
223,Best Regional Mexican Music Album (Including Tejano),2013,Latin,A Mi Manera,Mariachi Divas De Cindy Shea
224,Best Tropical Latin Album,2013,Latin,Pacific Mambo Orchestra,Pacific Mambo Orchestra
225,Best Americana Album,2013,American Roots Music,Old Yellow Moon,Emmylou Harris
226,Best Bluegrass Album,2013,American Roots Music,The Streets Of Baltimore,Del McCoury Band
227,Best Blues Album,2013,American Roots Music,Get Up!,Ben Harper
228,Best Folk Album,2013,American Roots Music,My Favorite Picture Of You,Guy Clark
229,Best Regional Roots Music Album,2013,American Roots Music,Dockside Sessions,Terrance Simien & The Zydeco Experience
230,Best Reggae Album,2013,Reggae,Ziggy Marley In Concert,Ziggy Marley
231,Best World Music Album,2013,World Music,Live: Singing For Peace Around The World,Gipsy Kings
232,Best Children's Album,2013,Children's,Throw A Penny In The Wishing Well,Jennifer Gasoi
233,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2013,Spoken Word,America Again: Re-becoming The Greatness We Never Weren't,Stephen Colbert
234,Best Comedy Album,2013,Comedy,Calm Down Gurrl,Kathy Griffin
235,Best Musical Theater Album,2013,Musical Theater,Kinky Boots,"Original Broadway Cast With Stark Sands, Billy Porter & Others"
236,Best Album Notes,2013,Notes,Afro Blue Impressions (Remastered & Expanded),John Coltrane
237,Best Historical Album,2013,Historical,The Complete Sussex And Columbia Albums,Bill Withers
238,"Best Engineered Album, Non-Classical",2013,"Production, Non-Classical",Random Access Memories,Daft Punk
239,Best Surround Sound Album,2013,"Production, Immersive Audio",Live Kisses,Paul McCartney
240,"Best Engineered Album, Classical",2013,"Production, Classical",Winter Morning Walks,"Dawn Upshaw, Maria Schneider, Australian Chamber Orchestra & St. Paul Chamber Orchestra"
241,Album Of The Year,2012,General,Babel,Mumford & Sons
242,Best Pop Instrumental Album,2012,Pop,Impressions,Chris Botti
243,Best Pop Vocal Album,2012,Pop,Stronger,Kelly Clarkson
244,Best Dance/Electronica Album,2012,Dance/Electronic Music,Bangarang,Skrillex
245,Best Traditional Pop Vocal Album,2012,Traditional Pop,Kisses On The Bottom,Paul McCartney
246,Best Rock Album,2012,Rock,El Camino,The Black Keys
247,Best Alternative Music Album,2012,Alternative,Making Mirrors,Gotye
248,Best Urban Contemporary Album,2012,R&B,Channel Orange,Frank Ocean
249,Best R&B Album,2012,R&B,Black Radio,Robert Glasper Experiment
250,Best Rap Album,2012,Rap,Take Care,Drake
251,Best Country Album,2012,Country,Uncaged,Zac Brown Band
252,Best New Age Album,2012,New Age,Echoes Of Love,Omar Akram
253,Best Jazz Vocal Album,2012,Jazz,Radio Music Society,Esperanza Spalding
254,Best Jazz Instrumental Album,2012,Jazz,Unity Band,Pat Metheny Unity Band
255,Best Large Jazz Ensemble Album,2012,Jazz,Dear Diz (Every Day I Think Of You),Arturo Sandoval
256,Best Latin Jazz Album,2012,Jazz,¡Ritmo!,The Clare Fischer Latin Jazz Big Band
257,Best Gospel Album,2012,Gospel/Contemporary Christian Music,Gravity,Lecrae
258,Best Contemporary Christian Music Album,2012,Gospel/Contemporary Christian Music,Eye On It,TobyMac
259,Best Latin Pop Album,2012,Latin,MTV Unplugged Deluxe Edition,Juanes
260,"Best Latin Rock, Urban or Alternative Album",2012,Latin,Imaginaries,Quetzal
261,Best Regional Mexican Music Album (Including Tejano),2012,Latin,Pecados Y Milagros,Lila Downs
262,Best Tropical Latin Album,2012,Latin,Retro,Marlow Rosado Y La Riqueña
263,Best Americana Album,2012,American Roots Music,Slipstream,Bonnie Raitt
264,Best Bluegrass Album,2012,American Roots Music,Nobody Knows You,
265,Best Blues Album,2012,American Roots Music,Locked Down,Dr. John
266,Best Folk Album,2012,American Roots Music,The Goat Rodeo Sessions,Yo-Yo Ma
267,Best Regional Roots Music Album,2012,American Roots Music,The Band Courtbouillon,Wayne Toups
268,Best Reggae Album,2012,Reggae,Rebirth,Jimmy Cliff
269,Best World Music Album,2012,World Music,The Living Room Sessions Part 1,Ravi Shankar
270,Best Children's Album,2012,Children's,Can You Canoe?,The Okee Dokee Brothers
271,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2012,Spoken Word,Society's Child: My Autobiography,Janis Ian
272,Best Comedy Album,2012,Comedy,Blow Your Pants Off,Jimmy Fallon
273,Best Musical Theater Album,2012,Musical Theater,Once: A New Musical,"Original Broadway Cast With Steve Kazee, Cristin Milioti & Others"
274,Best Album Notes,2012,Notes,Singular Genius: The Complete ABC Singles,Ray Charles
275,Best Historical Album,2012,Historical,The Smile Sessions (Deluxe Box Set),The Beach Boys
276,"Best Engineered Album, Non-Classical",2012,"Production, Non-Classical",The Goat Rodeo Sessions,"Yo-Yo Ma, Stuart Duncan, Edgar Meyer & Chris Thile"
277,Best Surround Sound Album,2012,"Production, Immersive Audio",Modern Cool,Patricia Barber
278,"Best Engineered Album, Classical",2012,"Production, Classical",Life & Breath - Choral Works By René Clausen,Charles Bruffy & Kansas City Chorale
279,Album Of The Year,2011,General,21,Adele
280,Best Pop Instrumental Album,2011,Pop,The Road From Memphis,Booker T. Jones
281,Best Pop Vocal Album,2011,Pop,21,Adele
282,Best Dance/Electronica Album,2011,Dance/Electronic Music,Scary Monsters And Nice Sprites,Skrillex
283,Best Traditional Pop Vocal Album,2011,Traditional Pop,Duets II,Tony Bennett
284,Best Rock Album,2011,Rock,Wasting Light,Foo Fighters
285,Best Alternative Music Album,2011,Alternative,Bon Iver,Bon Iver
286,Best R&B Album,2011,R&B,F.A.M.E.,Chris Brown
287,Best Rap Album,2011,Rap,My Beautiful Dark Twisted Fantasy,Kanye West
288,Best Country Album,2011,Country,Own The Night,Lady Antebellum
289,Best New Age Album,2011,New Age,What's It All About,Pat Metheny
290,Best Jazz Vocal Album,2011,Jazz,The Mosaic Project,Terri Lyne Carrington
291,Best Jazz Instrumental Album,2011,Jazz,Forever,
292,Best Large Jazz Ensemble Album,2011,Jazz,The Good Feeling,Christian McBride Big Band
293,Best Gospel Album,2011,Gospel/Contemporary Christian Music,Hello Fear,Kirk Franklin
294,Best Contemporary Christian Music Album,2011,Gospel/Contemporary Christian Music,And If Our God Is For Us...,Chris Tomlin
295,"Best Latin Pop, Rock, Or Urban Album",2011,Latin,Drama Y Luz,Maná
296,Best Regional Mexican Or Tejano Album,2011,Latin,Bicentenario,Pepe Aguilar
297,Best Banda Or Norteño Album,2011,Latin,Los Tigres Del Norte And Friends,Los Tigres Del Norte
298,Best Tropical Latin Album,2011,Latin,The Last Mambo,Cachao
299,Best Americana Album,2011,American Roots Music,Ramble At The Ryman,Levon Helm
300,Best Bluegrass Album,2011,American Roots Music,Paper Airplane,Alison Krauss & Union Station
301,Best Blues Album,2011,American Roots Music,Revelator,Tedeschi Trucks Band
302,Best Folk Album,2011,American Roots Music,Barton Hollow,The Civil Wars
303,Best Regional Roots Music Album,2011,American Roots Music,Rebirth Of New Orleans,Rebirth Brass Band
304,Best Reggae Album,2011,Reggae,Revelation Pt. 1: The Root Of Life,Stephen Marley
305,Best World Music Album,2011,World Music,Tassili,Tinariwen
306,Best Children's Album,2011,Children's,All About Bullies... Big And Small,Various Artists
307,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2011,Spoken Word,If You Ask Me (And Of Course You Won't),Betty White
308,Best Comedy Album,2011,Comedy,Hilarious,Louis C.K.
309,Best Musical Theater Album,2011,Musical Theater,The Book Of Mormon,Original Broadway Cast
310,Best Album Notes,2011,Notes,"Hear Me Howling!: Blues, Ballads & Beyond As Recorded By The San Francisco Bay By Chris Strachwitz In The 1960s",Various Artists
311,Best Historical Album,2011,Historical,Band On The Run (Paul McCartney Archive Collection - Deluxe Edition),Paul McCartney & Wings
312,"Best Engineered Album, Non-Classical",2011,"Production, Non-Classical",Paper Airplane,Alison Krauss & Union Station
313,Best Surround Sound Album,2011,"Production, Immersive Audio",Layla And Other Assorted Love Songs (Super Deluxe Edition),Derek & The Dominos
314,"Best Engineered Album, Classical",2011,"Production, Classical",Aldridge: Elmer Gantry,"William Boggs, Keith Phares, Patricia Risley, Vale Rideout, Frank Kelley, Heather Buck, Florentine Opera Chorus & Milwaukee Symphony Orchestra"
315,Album Of The Year,2010,General,The Suburbs,Arcade Fire
316,Best Pop Instrumental Album,2010,Pop,Take Your Pick,Larry Carlton
317,Best Pop Vocal Album,2010,Pop,The Fame Monster,Lady Gaga
318,Best Electronic/Dance Album,2010,Dance/Electronic Music,La Roux,La Roux
319,Best Traditional Pop Vocal Album,2010,Traditional Pop,Crazy Love,Michael Bublé
320,Best Rock Album,2010,Rock,The Resistance,Muse
321,Best Alternative Music Album,2010,Alternative,Brothers,
322,Best R&B Album,2010,R&B,Wake Up!,John Legend
323,Best Contemporary R&B Album,2010,R&B,Raymond V Raymond,Usher
324,Best Rap Album,2010,Rap,Recovery,Eminem
325,Best Country Album,2010,Country,Need You Now,Lady Antebellum
326,Best New Age Album,2010,New Age,Miho: Journey To The Mountain,Paul Winter Consort
327,Best Contemporary Jazz Album,2010,Jazz,The Stanley Clarke Band,The Stanley Clarke Band
328,Best Jazz Vocal Album,2010,Jazz,Eleanora Fagan (1915-1959): To Billie With Love From Dee Dee,Dee Dee Bridgewater
329,"Best Jazz Instrumental Album, Individual or Group",2010,Jazz,Moody 4B,James Moody
330,Best Large Jazz Ensemble Album,2010,Jazz,Mingus Big Band Live At Jazz Standard,Mingus Big Band
331,Best Latin Jazz Album,2010,Jazz,Chucho's Steps,Chucho Valdés
332,Best Rock Or Rap Gospel Album,2010,Gospel/Contemporary Christian Music,Hello Hurricane,Switchfoot
333,Best Pop/Contemporary Gospel Album,2010,Gospel/Contemporary Christian Music,Love God. Love People.,Israel Houghton
334,"Best Southern, Country, Or Bluegrass Gospel Album",2010,Gospel/Contemporary Christian Music,The Reason,Diamond Rio
335,Best Traditional Gospel Album,2010,Gospel/Contemporary Christian Music,Downtown Church,Patty Griffin
336,Best Contemporary R&B Gospel Album,2010,Gospel/Contemporary Christian Music,Still,CeCe Winans
337,Best Latin Pop Album,2010,Latin,Paraiso Express,Alejandro Sanz
338,"Best Latin Rock, Alternative Or Urban Album",2010,Latin,El Existential,Grupo Fantasma
339,Best Tropical Latin Album,2010,Latin,Viva La Tradición,
340,Best Tejano Album,2010,Latin,Recuerdos,Little Joe & La Familia
341,Best Norteño Album,2010,Latin,Classic,Intocable
342,Best Banda Album,2010,Latin,Enamórate De Mí,El Güero Y Su Banda Centanario
343,Best Americana Album,2010,American Roots Music,You Are Not Alone,Mavis Staples
344,Best Bluegrass Album,2010,American Roots Music,Mountain Soul II,Patty Loveless
345,Best Traditional Blues Album,2010,American Roots Music,Joined At The Hip,
346,Best Contemporary Blues Album,2010,American Roots Music,Living Proof,Buddy Guy
347,Best Traditional Folk Album,2010,American Roots Music,Genuine Negro Jig,Carolina Chocolate Drops
348,Best Contemporary Folk Album,2010,American Roots Music,God Willin' & The Creek Don't Rise,Ray LaMontagne
349,Best Hawaiian Music Album,2010,American Roots Music,Huana Ke Aloha,Tia Carrere
350,Best Native American Music Album,2010,American Roots Music,2010 Gathering Of Nations Pow Wow: A Spirit's Dance,Derek Mathews
351,Best Zydeco Or Cajun Music Album,2010,American Roots Music,Zydeco Junkie,Chubby Carrier And The Bayou Swamp
352,Best Reggae Album,2010,Reggae,Before The Dawn,Buju Banton
353,Best Traditional World Music Album,2010,World Music,Ali And Toumani,
354,Best Contemporary World Music Album,2010,World Music,"Throw Down Your Heart , Africa Sessions Part 2: Unreleased Tracks",Béla Fleck
355,Best Musical Album For Children,2010,Children's,Tomorrow's Children,Pete Seeger
356,Best Spoken Word Album For Children,2010,Children's,"Julie Andrews' Collection Of Poems, Songs, And Lullabies",Julie Andrews
357,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",2010,Spoken Word,The Daily Show With Jon Stewart Presents Earth (The Audiobook),Rory Albanese
358,Best Comedy Album,2010,Comedy,Stark Raving Black,Lewis Black
359,Best Musical Show Album,2010,Musical Theater,American Idiot - Featuring Green Day,"Original Broadway Cast With John Gallagher, Jr., Michael Esper & Others"
360,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",2010,Music for Visual Media,Crazy Heart,Stephen Bruton
361,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",2010,Composing/Arranging,Toy Story 3,Randy Newman
362,Best Album Notes,2010,Notes,Keep An Eye On The Sky,Big Star
363,Best Historical Album,2010,Historical,The Beatles (The Original Studio Recordings),The Beatles
364,"Best Engineered Album, Non-Classical",2010,"Production, Non-Classical",Battle Studies,John Mayer
365,Best Surround Sound Album,2010,"Production, Immersive Audio",Britten's Orchestra,Michael Stern & Kansas City Symphony
366,"Best Engineered Album, Classical",2010,"Production, Classical","Porter, Quincy: Complete Viola Works",Eliesha Nelson & John McLaughlin Williams
367,Best Classical Album,2010,Classical,Verdi: Requiem,Duain Wolfe
368,Best Classical Crossover Album,2010,Classical,"Tin, Christopher: Calling All Dawns",Lucas Richman
