songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61
89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59
90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59
91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52
95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49
98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38
99,Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27
103,Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7
105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80
106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76
113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76
114,We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75
115,Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11,68,222,5,5,74
116,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,74
117,Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25,75,211,14,8,73
121,Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7,53,228,0,6,72
122,International Love,Pitbull,dance pop,2012,120,86,67,-3,34,65,227,1,5,72
124,Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13,33,171,4,5,71
125,Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7,77,216,0,4,71
126,Domino,Jessie J,australian pop,2012,127,55,76,-5,4,78,232,1,3,69
127,Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22,44,243,0,9,68
128,Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39,57,221,7,4,68
129,The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16,88,227,0,4,67
130,Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10,71,237,2,7,66
131,Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16,64,228,0,10,65
132,Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13,78,211,3,4,65
134,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,61
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,38,95,206,1,9,59
136,You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,13,86,200,50,4,57
138,It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,8,48,258,34,5,38
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,25,75,256,0,4,0
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81
145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78
146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77
151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76
152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12,75,193,1,9,75
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13,11,215,2,6,74
157,Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12,51,184,13,8,74
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6,58,213,20,11,72
164,Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7,85,248,16,16,71
165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34,54,230,4,16,70
173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68
174,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61
183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60
186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59
189,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58
191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57
195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54
196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52
198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52
200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45
204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45
205,Overdose,Ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42
207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41
208,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35
210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28
211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79
216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78
217,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78
220,Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77
221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77
227,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72
228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71
229,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68
233,Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10,64,244,45,4,68
234,human,Christina Perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68
235,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,46,3,67
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67
238,This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,15,80,204,2,5,66
243,Birthday,Katy Perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65
244,G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,12,57,233,1,4,65
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,27,25,226,3,4,63
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,14,82,207,12,7,62
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,12,4,191,6,5,61
252,Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,10,90,202,27,8,59
253,Chandelier,Sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,10,55,222,0,7,56
258,Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,35,61,198,18,4,50
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,38,56,224,28,7,38
264,Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,11,39,235,15,4,37
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,25,53,230,10,11,30
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,12,59,207,45,42,28
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0
269,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84
272,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
273,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
276,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,79
282,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,77
283,My House,Flo Rida,dance pop,2015,94,70,69,-5,13,74,192,2,5,77
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,77
290,Blame,Calvin Harris,dance pop,2015,128,86,41,-4,34,35,213,3,8,76
293,Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74
294,Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73
296,Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72
302,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72
303,Sing,Ed Sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71
305,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69
309,Up,Olly Murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69
310,Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69
315,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5,79,235,9,6,67
320,The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10,21,245,8,6,67
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66
326,On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65
329,Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26,40,210,0,5,64
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10,76,204,79,4,64
331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63
333,American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33,48,320,5,9,61
334,Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38,73,199,27,9,61
336,Alive,Sia,australian dance,2015,100,76,51,-4,11,44,264,25,5,61
338,Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32,86,199,2,7,60
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55
344,Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54
346,Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52
347,Living For Love,Madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52
348,Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10,26,203,1,3,52
351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50
352,We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8,8,285,43,4,49
354,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33,28,243,2,3,46
355,Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69,72,229,9,6,45
356,Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10,79,186,4,6,44
357,Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4,83,196,1,18,42
358,Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8,39,224,2,8,41
359,Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39
360,Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11,8,273,45,4,36
361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34
362,Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8,65,255,0,5,18
365,Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83
370,This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80
371,Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80
372,Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
374,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79
378,Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78
386,Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9,34,206,0,7,75
387,Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10,39,263,5,10,74
389,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,61,-5,16,50,185,7,4,73
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,-4,23,75,166,4,7,73
392,Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,-6,7,82,218,5,23,72
397,Company,Justin Bieber,canadian pop,2016,95,80,59,-5,8,43,208,13,6,72
399,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,71
400,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63,-6,11,50,215,1,15,71
406,Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61,-5,36,66,182,0,4,67
408,Out Of The Woods,Taylor Swift,pop,2016,92,84,55,-7,34,34,236,0,4,66
409,Rise,Katy Perry,dance pop,2016,101,64,55,-6,11,44,203,5,5,66
411,Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65
414,Cheap Thrills,Sia,australian dance,2016,90,80,59,-5,8,73,225,6,22,64
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56,-6,5,25,251,1,5,63
418,Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69,-8,17,56,223,4,10,61
419,WTF (Where They From),Missy Elliott,dance pop,2016,120,82,93,-3,6,56,193,2,20,58
421,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,58
425,Change,Christina Aguilera,dance pop,2016,82,54,62,-6,13,20,187,68,8,54
426,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,70,-7,22,58,231,16,10,53
429,Make Me Like You,Gwen Stefani,dance pop,2016,118,71,74,-5,13,80,217,4,5,50
432,Start,John Legend,neo mellow,2016,110,4,52,-15,9,26,310,99,4,47
433,Pep Rally,Missy Elliott,dance pop,2016,90,75,83,-4,20,32,263,22,12,47
434,Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65,-5,37,44,234,1,6,46
435,Invitation,Britney Spears,dance pop,2016,112,65,37,-7,9,16,200,3,11,44
437,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,39,-13,11,14,214,91,3,36
438,Little Lies,Hilary Duff,dance pop,2016,124,76,57,-6,4,40,204,0,6,36
439,Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,75,-6,11,45,203,1,7,34
440,BURNITUP!,Janet Jackson,dance pop,2016,123,71,83,-7,31,83,250,5,18,31
442,Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80,-10,7,69,228,25,4,18
443,Million Years Ago,Adele,british soul,2016,0,0,0,-60,0,0,227,0,0,0
444,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
448,That's What I Like,Bruno Mars,pop,2017,134,56,85,-5,9,86,207,1,4,83
455,Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,78
459,My Way,Calvin Harris,dance pop,2017,120,91,82,-3,16,54,219,9,4,78
460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17,81,289,6,4,77
462,Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10,82,229,23,17,76
463,The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,75
469,Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10,57,243,2,4,73
470,Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,72
472,Love,Lana Del Rey,art pop,2017,99,37,53,-11,11,23,273,49,3,72
474,All I Ask,Adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71
476,The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,71
482,24K Magic,Bruno Mars,pop,2017,107,80,82,-4,15,63,226,3,8,69
484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,-3,30,65,208,1,6,69
486,Bon appétit,Katy Perry,dance pop,2017,106,79,80,-6,22,52,228,13,6,68
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,-9,20,14,261,2,13,67
491,Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54
504,Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4,78,223,2,5,51
505,Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49
506,Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
521,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82
524,Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,2,23,81
525,Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,80
528,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,2,10,78
