mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,
309c62ba-7a22-4277-9f67-4a162526d18a,Beck,Beck,United States,United States,rock; electronic; alternative rock; american; usa; indie rock; folk rock; electronica; funk rock; alternative; américain; psychedelic pop; experimental rock; rock and indie; united states; singer/songwriter; lo-fi indie,alternative; indie; rock; singer-songwriter; indie rock; seen live; alternative rock; folk; electronic; experimental; beck; american; Lo-Fi; 90s; pop; male vocalists; electronica; Hip-Hop; indie pop; funk; Experimental Rock; psychedelic; anti-folk; 00s; favorites; eclectic; blues; folk rock; classic rock; Alt-country; dance; California; USA; genius; los angeles; acoustic; Mellow; Progressive rock; Awesome; hip hop; alternative dance; chillout; punk; chill; jazz; trip-hop; fun,2918241,102281190,FALSE,0
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,Adele,United Kingdom,United Kingdom,pop; jazz; singer; soul; adult contemporary; blue-eyed soul; film soundtrack; pop and chart; pop soul; blue eyed soul; adele; alternative/indie rock; adult alternative pop/rock; english singer,soul; female vocalists; british; singer-songwriter; indie; pop; Adele; jazz; acoustic; female vocalist; UK; alternative; britpop; blues; indie pop; female; chillout; 00s; beautiful voice; rnb; Neo-Soul; folk; seen live; england; london; piano; Mellow; rock; Blue-Eyed Soul; english; Love; r&b; beautiful; smooth; jazz-soul; easy listening; Sandy Leah,2856839,128162302,FALSE,0
596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,Justin Timberlake,United States,United States,pop; electropop; disco; dance-pop; boogie; pop and chart; r&b; contemporary r&b; synth funk,pop; rnb; dance; male vocalists; Hip-Hop; Justin Timberlake; seen live; soul; american; hip hop; r&b; sexy; 00s; electronic; r and b; rap; Justin; male vocalist; Guilty Pleasures; male; gay; urban; Timbaland; r'n'b; dance-pop; singer-songwriter; guilty pleasure; USA; funk; JT; hot; Love; favorites; rock; party; rhythm and blues,2821887,73976022,FALSE,0
b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,Christina Aguilera,United States,United States,rock; pop; soul; electropop; dance-pop; adult contemporary; pop and chart; teen pop; contemporary r&b,pop; female vocalists; soul; rnb; dance; Christina Aguilera; female; american; legend; rock; diva; female vocalist; sexy; seen live; r&b; singer-songwriter; 90s; jazz; 00s; Hip-Hop; Britney Spears; bitch; Officially Shit; electronic; beautiful; Shakira; pop rock; great voice; tranny; big voice; latin; XTina; Britney runner up; amazing; rhythm and blues; Love; overrated; whore; alternative; hot; USA; christina; electropop; hip hop; english; dance-pop; blues; shit; teen pop; aguilera; Guilty Pleasures; guilty pleasure; dance pop; Ballad; cunt; female vocal; bionic; r and b; Blonde; urban; grammy winner; your ears will bleed; FLOP; vocal; Crap; Favorite; all things annoying in the world put together into one stupid bitch; amazing voice; favorites; boring,2788515,128756438,FALSE,0
302bd7b9-d012-4360-897a-93b00c855680,David Guetta,David Guetta,France,France,electronic; dance; house; seen live; electropop; eurodance; dance-pop; progressive house; electro house; french house; dance and electronica,House; dance; electronic; club; techno; french; seen live; David Guetta; electronica; electro; pop; dj; trance; electro house; french house; party; eurodance; club house; Progressive House; france; deep house; guetta; vocal house; Club Music; 00s; electropop; eletronic; chillout,2782756,88750979,FALSE,0
8970d868-0723-483b-a75b-51088913d3d4,Moby,Moby,United States,United States,rock; electronic; downtempo; pop; ambient; rave; house; american; techno; electronica; producer; composer; lyricist; pop rock; trip hop; parolier; compositeur; producteur; dance and electronica; play,electronic; ambient; chillout; alternative; electronica; seen live; dance; pop; techno; rock; Moby; american; downtempo; House; trip-hop; trance; electro; experimental; chill; alternative rock; 90s; indie; instrumental; USA; lounge; 00s; relax; male vocalists,2663279,94156879,FALSE,0
3414d446-735a-443c-931f-10634f57e5b9,Usher,Usher,United States,,soul; pop rap; hip hop rnb and dance hall; contemporary r&b,rnb; Hip-Hop; pop; soul; rap,2650020,39319140,FALSE,0
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,50 Cent,United States,United States,rap; hip-hop; hip hop; gangsta rap; pop rap; hip hop rnb and dance hall; gangster rap; hip-hop/rap; east coast hip hop; hardcore hip hop,rap; Hip-Hop; Gangsta Rap; hip hop; 50 Cent; Officially Shit; seen live; hiphop; Crap; G-Unit; pop; the worst thing ever to happen to music; american; new york; shit; gangsta; east coast rap; gay; rnb; East Coast; emo; male vocalists; ponyrape; dance; 50cent; Eminem; rock; USA; 50; terrible; hip-hop and rap; alternative; 00s; Aftermath; overrated; queens; stupid; g unit,2645222,39383493,FALSE,0
0103c1cc-4a09-4a5d-a344-56ad99a77193,Avril Lavigne,Avril Lavigne,Canada,Canada,rock; pop; alternative rock; punk; punk rock; electropop; post-grunge; dance-pop; pop rock; pop punk; pop and chart; teen pop; pop/rock; teen punk; mall punk; bubblegum punk; 743219675026,pop; pop rock; rock; female vocalists; Canadian; punk; pop punk; alternative; avril lavigne; seen live; punk rock; female; alternative rock; singer-songwriter; female vocalist; Pop-Rock; Avril; 00s; emo; canada; teen pop; Pop-punk; indie; acoustic; Officially Shit; dance; sexy; guilty pleasure; shit; favorites; Brutal Death Metal; acoustic pop; Mellow; Crap; Sandy Leah; female artists; power pop; cute; Love; female vocals; english; black metal; folk; catchy; nsbm; female vocal; melancholy; post-grunge; sandy e junior; soft rock; diva; hot; Guilty Pleasures; electronic; punk pop; RAC; poprock; Acoustic Rock; depressive black metal; Orthodox Black Metal; national socialist black metal; Rock Against Communism; noise; Awesome; atmospheric black metal; hatecore; true metal; Post-Black Metal; blackgaze; Blackwave,2627363,115252437,FALSE,0
c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,Chris Brown,United States,United States,pop; dance; american; hip-hop; electropop; rnb; dance-pop; pop rap; electro house; hip hop rnb and dance hall; r&b; contemporary r&b; ya man ain't me (produced by the.mp3; wifebeater,rnb; Hip-Hop; Chris Brown; rap; hip hop; pop; r&b; male vocalists; dance; american; Woman beater; soul; r and b; urban; seen live; sexy; rhythm and blues; r'n'b; Love; chris; wife beater; electronic; 00s; Rihanna; male vocalist; r n b; party; douchebag; hot; asshole; Favorite; Officially Shit; hiphop; virginia; black music; r & b,2624857,47604118,TRUE,0
2c1828a2-e46b-4ade-a6e9-065ca265d679,Chris Brown,Chris Brown,United States,United States,,rnb; Hip-Hop; Chris Brown; rap; hip hop; pop; r&b; male vocalists; dance; american; Woman beater; soul; r and b; urban; seen live; sexy; rhythm and blues; r'n'b; Love; chris; wife beater; electronic; 00s; Rihanna; male vocalist; r n b; party; douchebag; hot; asshole; Favorite; Officially Shit; hiphop; virginia; black music; r & b,2624857,47604118,TRUE,0
a7f9fe7b-dc45-4a18-b083-25aa667892bf,Chris Brown,Chris Brown,United States,United States,,rnb; Hip-Hop; Chris Brown; rap; hip hop; pop; r&b; male vocalists; dance; american; Woman beater; soul; r and b; urban; seen live; sexy; rhythm and blues; r'n'b; Love; chris; wife beater; electronic; 00s; Rihanna; male vocalist; r n b; party; douchebag; hot; asshole; Favorite; Officially Shit; hiphop; virginia; black music; r & b,2624857,47604118,TRUE,0
548bae0a-223e-4825-a79f-951e1f737a84,Chris Brown,Chris Brown,United States,United States,american; usa; pianist; composer; musician; american composer; modern classical; free improvisation; eai,rnb; Hip-Hop; Chris Brown; rap; hip hop; pop; r&b; male vocalists; dance; american; Woman beater; soul; r and b; urban; seen live; sexy; rhythm and blues; r'n'b; Love; chris; wife beater; electronic; 00s; Rihanna; male vocalist; r n b; party; douchebag; hot; asshole; Favorite; Officially Shit; hiphop; virginia; black music; r & b,2624857,47604118,TRUE,0
ff6e677f-91dd-4986-a174-8db0474b1799,Jack Johnson,Jack Johnson,United States,United States,rock; pop; folk; american; acoustic; soft rock; surf; pop and chart,acoustic; singer-songwriter; chill; alternative; rock; folk; indie; Acoustic Rock; seen live; jack johnson; chillout; Surf; Mellow; pop; guitar; american; male vocalists; easy listening; alternative rock; surf music; relax; indie rock; hawaii; relaxing; summer; favorites; surf rock; soft rock; folk rock; Hawaiian; emo; accoustic; USA; Love; happy; indie pop; Favorite; reggae; 00s,2545095,115358168,FALSE,0
dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,Amy Winehouse,United Kingdom,United Kingdom,pop; jazz; blues; british; uk; neo-soul; soul; crossover jazz; vocal jazz; jazz pop; english; jazz and blues; pop soul; i heard love is blind; death by overdose; r&b; contemporary r&b; rhythm & blues; frank; 27 club,soul; jazz; female vocalists; british; singer-songwriter; pop; funk; Amy Winehouse; Neo-Soul; blues; seen live; rnb; female vocalist; r&b; vocal jazz; UK; 00s; alternative; female; rhythm and blues; Retro; amy; ska; indie; rock; sexy; jazz vocal; chillout; legend; england; london; reggae; diva; english,2513247,94539297,FALSE,0
73fdb566-a9b1-494c-9f32-51768ec9fd27,OutKast,OutKast,United States,Georgia; United States,pop; american; hip-hop; experimental; hip hop; funk; neo-soul; southern hip hop; pop rap; alternative hip-hop; southern hip-hop; dirty south; hip hop rnb and dance hall; contemporary r&b; conscious hip hop,Hip-Hop; rap; funk; hip hop; soul; Dirty South; pop; alternative; seen live; outkast; american; southern rap; hiphop; atlanta; rnb; alternative rap; rock; electronic; 00s; 90s; alternative hip-hop; dance; georgia; southern hip-hop; indie; experimental; ATL; Southern Hip Hop; funky; male vocalists; USA; jazz; G-funk; electronica; favorites; andre 3000; Big Boi,2508114,48749317,FALSE,0
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,Elton John,United Kingdom,United Kingdom,rock; pop; british; uk; glam rock; adult contemporary; pop rock; piano rock; english; classic pop and rock; elton-john; singer/songwriter; pop/rock,pop; classic rock; singer-songwriter; rock; piano; british; seen live; 80s; 70s; elton john; male vocalists; soft rock; pop rock; piano rock; glam rock; 90s; oldies; gay; UK; Soundtrack; english; Pop-Rock; legend; classic; adult contemporary; 00s; favorites; easy listening; male vocalist; soul; britpop; Rock and Roll; 60s; alternative; england; Love; Elton; male; blues; Ballad; indie,2506942,49863371,FALSE,0
f4d5cc07-3bc9-4836-9b15-88a08359bc63,P!nk,P!nk,United States,United States,pop; electropop; dance-pop; pop rock; pop and chart; united states; sober; contemporary r&b,pop; pop rock; female vocalists; rock; female; seen live; pink; american; P!nk; dance; rnb; singer-songwriter; female vocalist; 00s; alternative; punk; Pop-Rock; sexy; USA; Hip-Hop; alternative rock; electronic; r&b; soul; pop punk; indie; Awesome; favorites; party; fun; dance-pop; amazing; cool; english,2495211,68613195,FALSE,0
f90e8b26-9e52-4669-a5c9-e28529c47894,Snoop Dogg,Snoop Dogg,United States,United States,american; hip-hop; hip hop; reggae; gangsta rap; west coast hip-hop; g-funk; hip hop rnb and dance hall; west coast hip hop,Hip-Hop; rap; Gangsta Rap; hip hop; west coast; seen live; G-funk; Snoop Dogg; West Coast Rap; hiphop; gangsta; american; California; 90s; pop; rnb; Snoop; long beach; west coast hip-hop; rock; male vocalists; USA; funk; alternative; 00s; weed; west coast hip hop; dance; chillout; snoop dog; indie; reggae,2493508,39079490,FALSE,0
e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,Kid Cudi,United States,United States,rap; hip hop; hiphop; us; alternative hip hop,Hip-Hop; rap; alternative rap; hip hop; House; seen live; electronic; kid cudi; alternative hip-hop; american; alternative; dance; hipster rap; chill; male vocalists; electro; urban; alternative hip hop; indie; experimental; Ohio; Cleveland; good music; chillout; pop; USA; hipster hop; electronica; stoner; underground hip-hop; alternative rock; 00s; hiphop; rnb; trip-hop; future-rap,2485167,72090030,FALSE,0
494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,Mariah Carey,United States,United States,pop; american; soul; rnb; dance-pop; adult contemporary; girl; whistle register; pop and chart; pop soul; christmas music; contemporary r&b,pop; rnb; female vocalists; soul; Mariah Carey; Hip-Hop; 90s; female; diva; american; r&b; dance; female vocalist; r and b; singer-songwriter; mariah; 00s; hip hop; sexy; legend; urban; Love; Ballad; seen live; christmas; love songs; ballads; beautiful; rhythm and blues; rock; USA; vocal; adult contemporary; 80s; skinny legend; sweet; female vocals; english; romantic; amazing; mimi; alternative; divas; favorites; dance-pop; jazz; female artists; favourite artists; mc,2459108,74250907,FALSE,0
144ef525-85e9-40c3-8335-02c32d0861f3,John Mayer,John Mayer,United States,United States,rock; pop; jazz; blues; folk rock; production music; alternative; soul; blues rock; americana; acoustic rock; pop rock; singer/songwriter; john mayer,singer-songwriter; acoustic; rock; pop; Acoustic Rock; seen live; blues; alternative; john mayer; male vocalists; chill; guitar; pop rock; blues rock; american; Mellow; indie; soft rock; alternative rock; folk; soul; easy listening; jazz; favorites; chillout; Favorite; Love; male vocalist; 00s; male; Pop-Rock; USA; emo; singer songwriter; amazing; relax; indie rock; soft; Adult Alternative; classic rock; country; beautiful; Favorite Artists; Mayer,2453071,110319385,FALSE,0
d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,Kelly Clarkson,United States,United States,rock; pop; electropop; dance-pop; pop rock; american idol; pop and chart; teen pop; fixme label mess; a filk artist,pop; female vocalists; pop rock; rock; Kelly Clarkson; American Idol; female; alternative; american; seen live; female vocalist; dance; singer-songwriter; 00s; Pop-Rock; indie; alternative rock; Kelly; USA; soul; emo; teen pop; idol; punk; guilty pleasure; english; country; favorites; female artists; rnb; Guilty Pleasures; Officially Shit; electronic; Love; soft rock; Awesome; amazing; texas,2425837,64551596,FALSE,0
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,T.I.,United States,Georgia; United States,rap; hip hop; southern hip hop; gangsta rap; pop rap; dirty south; hip hop rnb and dance hall; trap rap,Hip-Hop; rap; Dirty South; hip hop; southern rap; atlanta; Gangsta Rap; TI; american; ATL; seen live; hiphop; rnb; grand hustle; male vocalists; King; T.I; gangsta; Trap Muzik; king of the south; tip; georgia; pop; Crunk; 00s; soul; urban; Rap and Hip-Hop,2422414,32407489,FALSE,0
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,Elvis Presley,United States,United States,rock; pop; american; blues; singer; rockabilly; country; pop rock; blue-eyed soul; gospel; rock and roll; oldies; love; classic pop and rock; party; christmas music; rock & roll; pop/rock; flaming; if you talk in your sleep,rock n roll; classic rock; rock; oldies; Rock and Roll; rockabilly; 50s; 60s; pop; american; country; Elvis Presley; blues; rock'n'roll; male vocalists; The King; elvis; 70s; legend; gospel; Rock 'n' Roll; soul; USA; singer-songwriter; King; classic; rock-n-roll; rhythm and blues; male vocalist; acoustic; rock & roll; jazz; blues rock; alternative; King of Rock and Roll; favorites,2390753,71070448,FALSE,0
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,Frank Sinatra,United States,United States,pop; jazz; vocal; christmas; swing; big band; columbia; easy listening soundtracks and musicals; garland; chrismas; duets; swing; jazz; big band; christmas,jazz; swing; oldies; vocal jazz; easy listening; male vocalists; american; frank sinatra; Big Band; pop; crooner; 50s; jazz vocal; lounge; vocal; classic; 60s; legend; Rat Pack; blues; 40s; Sinatra; crooners; classic rock; Traditional Pop; singer-songwriter; christmas; Standards; USA; 80s; male vocalist; 70s,2357629,65804306,FALSE,0
5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,Bon Jovi,United States,Jersey; United States,rock; metal; american; band; hard rock; usa; glam rock; classic rock; acoustic rock; pop rock; glam metal; aor; pop and chart; hard fm,rock; hard rock; classic rock; 80s; hair metal; seen live; bon jovi; american; 90s; pop; pop rock; Glam Metal; glam rock; metal; heavy metal; male vocalists; USA; soft rock; alternative; alternative rock; new jersey; Pop-Rock; 00s; singer-songwriter; melodic rock; 80s rock; Pop Metal,2353577,64020436,FALSE,0
bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,Shakira,Colombia,Colombia; Spain,rock; pop; alternative; electropop; dance-pop; pop rock; latin pop; latin; colombian; merengue; classic pop and rock; barranquilla; atlantico,pop; latin; female vocalists; spanish; rock; Shakira; dance; singer-songwriter; sexy; Colombia; seen live; electronic; hot; legend; latin pop; amazing; experimental; hips; colombian; talented; beautiful; poet; catchy; Talented Ladies; 00s; 90s; acoustic; amazing voice; female; pop rock; latino; synth; Eighth Wonder Of The World; diva; Fierce; female vocalist; awesome vocal; Fusion; Love; wow; cantautor; grammy winner; andean; fun; yes; latina; amazing lyrics; genius; goddess; moves me inexplicably; alternative; Rock en Espanol; Latin Rock; favorites; español; world; Pop Latino; Espanol; english; musica latina; columbian; Pop-Rock; powerful; political,2346168,69004922,FALSE,0
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,Alicia Keys,United States,United States,pop; alternative rock; jazz; american; singer; neo-soul; soul; rnb; pianist; pop rap; neo soul; film soundtrack; hip hop rnb and dance hall; r&b; contemporary r&b,soul; rnb; female vocalists; pop; singer-songwriter; Alicia Keys; r&b; piano; Hip-Hop; american; female; seen live; Neo-Soul; r and b; female vocalist; rhythm and blues; jazz; Neo Soul; hip hop; urban; 00s; blues; new york; r'n'b; funk; USA; sexy; smooth; Love; black music; pianist; chillout; alicia; contemporary rnb; beautiful; female artists; diva,2325048,50639370,FALSE,0
82eb8936-7bf6-4577-8320-a2639465206d,Jason Mraz,Jason Mraz,United States,United States,rock; pop; alternative rock; american; acoustic rock; adult contemporary; pop rock; classic pop and rock; united states; singer/songwriter,singer-songwriter; acoustic; pop; alternative; rock; seen live; indie; Acoustic Rock; jason mraz; male vocalists; american; pop rock; folk; chill; alternative rock; guitar; chillout; jazz; happy; Love; favorites; indie rock; Mellow; reggae; relax; Mraz; male vocalist; Favorite; soul; USA; easy listening; male; 00s; summer; fun; jason; indie pop; feel good; amazing; Pop-Rock; virginia; funk; smooth; boys with guitars,2267801,62012330,FALSE,0
13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,Nelly Furtado,Canada,Canada; Portugal; Spain,rock; pop; folk; canadian; hip hop; pop and chart; hip hop rnb and dance hall; r&b; euro/dance-pop,pop; female vocalists; Canadian; folk; singer-songwriter; rnb; Nelly Furtado; alternative; seen live; dance; female; Hip-Hop; female vocalist; rock; sexy; portuguese; latin; 00s; r&b; hip hop; canada; soul; Nelly; indie; spanish; pop rock; Shakira; electronic; favorites,2258851,43050572,FALSE,0
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262,171760219,FALSE,0
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,Calvin Harris,United Kingdom,Scotland; United Kingdom,electronic; dance; house; electropop; disco; dance-pop; progressive house; hip house; electro house; dance and electronica; nu-disco; uk hip hop; contemporary r&b; complextro; electro-disco; ibiza trance,electronic; dance; electro; Disco; seen live; electronica; british; Scottish; House; pop; indie; electropop; Electroclash; calvin harris; synthpop; synth pop; UK; male vocalists; electro house; nu-disco; new rave; scotland; 00s; EDM; Progressive House; indie pop; dj; dumfries; indietronica; club; 80s; Electro Pop; alternative; sexy; techno; electro dance; singer-songwriter; party,2195535,73336455,FALSE,0
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,Wiz Khalifa,United States,,rap; hip hop; pop rap; hip hop rnb and dance hall,Hip-Hop; rap; underground hip-hop; hip hop; seen live,2193650,44503464,FALSE,0
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,2Pac,United States,United States,american; hip-hop; hip hop; gangsta rap; west coast hip-hop; pop rap; g-funk; hip hop rnb and dance hall; west coast hip hop; above the rim; death by murder; death by gun; 2 pac; conscious hip hop; political hip hop; temor a la muerte; unil the end of time,rap; Hip-Hop; Gangsta Rap; West Coast Rap; hip hop; 2pac; west coast; gangsta; 90s; hiphop; legend; american; tupac; G-funk; California; 2 Pac; makaveli; thug life; RIP; death row; west coast hip-hop; old school; hardcore rap; USA; rnb; westcoast; tupac shakur; political; Westside; rock; soul; male vocalists; west coast hip hop; classic; Real hip-hop; pac; alternative; los angeles; poet; good rap; outlawz,2190778,56493035,FALSE,0
