ID,X,GrammyAward,GrammyYear,Genre,Name,Artist
42,41,Best Gospel Performance/Song,2017,Gospel/Contemporary Christian Music,Never Have to be Alone,"Cece Winans; Dwan Hill & Alvin Love Iii, Songwriters"
43,42,Best Contemporary Christian Music Performance/Song,2017,Gospel/Contemporary Christian Music,What a Beautiful Name,"Hillsong Worship; Ben Fielding & Brooke Ligertwood, Songwriters"
44,43,Best American Roots Performance,2017,American Roots Music,Killer Diller Blues,Alabama Shakes
45,44,Best American Roots Song,2017,American Roots Music,If We Were Vampires,Jason Isbell and the 400 Unit
46,45,Best Song Written For Visual Media,2017,Composing/Arranging,How Far I'll Go,Auli'i Cravalho
50,49,Best Pop Duo/Group Performance,2016,Pop,Stressed Out,Twenty One Pilots
51,50,Best Dance Recording,2016,Dance/Electronic Music,Don't Let Me Down,The Chainsmokers Featuring Daya
53,52,Best Metal Performance,2016,Rock,Dystopia,Megadeth
56,55,Best Traditional R&B Performance,2016,R&B,Angel,Lalah Hathaway
58,57,Best Rap Performance,2016,Rap,No Problem,Chance the Rapper Featuring Lil Wayne & 2 Chainz
61,60,Best Country Solo Performance,2016,Country,My Church,Maren Morris
62,61,Best Country Duo/Group Performance,2016,Country,Jolene,Pentatonix Featuring Dolly Parton
64,63,Best Improvised Jazz Solo,2016,Jazz,I’m so Lonesome i Could Cry,"John Scofield, Soloist"
65,64,Best Gospel Performance/Song,2016,Gospel/Contemporary Christian Music,God Provides,"Tamela Mann; Kirk Franklin, Songwriter"
66,65,Best Contemporary Christian Music Performance/Song,2016,Gospel/Contemporary Christian Music,Thy will,"Hillary Scott & the Scott Family; Bernie Herms, Hillary Scott & Emily Weisband, Songwriters"
67,66,Best American Roots Performance,2016,American Roots Music,House of Mercy,Sarah Jarosz
68,67,Best American Roots Song,2016,American Roots Music,Kid Sister,The Time Jumpers
69,68,Best Song Written For Visual Media,2016,Composing/Arranging,Can't Stop the Feeling!,"Justin Timberlake, Anna Kendrick, Gwen Stefani, James Corden, Zooey Deschanel, Walt Dohrn, Ron Funches, Caroline Hjelt, Aino Jawo, Christopher Mintz-Plasse & Kunal Nayyar"
70,69,Record Of The Year,2015,General,Uptown Funk,Mark Ronson Featuring Bruno Mars
71,70,Song Of The Year,2015,General,Thinking Out Loud,"d Sheeran & Amy Wadge, Songwriters"
73,72,Best Pop Duo/Group Performance,2015,Pop,Uptown Funk,Mark Ronson Featuring Bruno Mars
74,73,Best Dance Recording,2015,Dance/Electronic Music,where are ü Now,Skrillex and Diplo with Justin Bieber
75,74,Best Rock Performance,2015,Rock,Don't Wanna Fight,Alabama Shakes
76,75,Best Metal Performance,2015,Rock,Cirice,Ghost
77,76,Best Rock Song,2015,Rock,Don't Wanna Fight,"Labama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson), Songwriters"
78,77,Best R&B Performance,2015,R&B,Earned it (Fifty Shades of Grey),The Weeknd
79,78,Best Traditional R&B Performance,2015,R&B,Little Ghetto Boy,Lalah Hathaway
80,79,Best R&B Song,2015,R&B,Really Love,"'Angelo, Gina Figueroa & Kendra Foster, Songwriters"
82,81,Best Rap Song,2015,Rap,Alright,"Endrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, Songwriters"
83,82,Best Country Solo Performance,2015,Country,Traveller,Chris Stapleton
84,83,Best Country Duo/Group Performance,2015,Country,Girl Crush,Little Big Town
85,84,Best Country Song,2015,Country,Girl Crush,"Illary Lindsey, Lori Mckenna & Liz Rose, Songwriters"
86,85,Best Improvised Jazz Solo,2015,Jazz,Cherokee,"Christian Mcbride, Soloist"
87,86,Best Gospel Performance/Song,2015,Gospel/Contemporary Christian Music,Wanna be Happy?,"Kirk Franklin; Kirk Franklin, Songwriter"
88,87,Best Contemporary Christian Music Performance/Song,2015,Gospel/Contemporary Christian Music,Holy Spirit,"Francesca Battistelli, Artist"
89,88,Best American Roots Performance,2015,American Roots Music,See that My Grave is Kept Clean,Mavis Staples
90,89,Best American Roots Song,2015,American Roots Music,24 Frames,"Ason Isbell, Songwriter"
91,90,Best Song Written For Visual Media,2015,Composing/Arranging,Glory,"Onnie Lynn, Che Smith & John Stephens, Songwriters"
92,91,Record Of The Year,2014,General,Stay with Me (Darkchild Version),Sam Smith
93,92,Song Of The Year,2014,General,Stay with Me (Darkchild Version),Sam Smith
95,94,Best Pop Duo/Group Performance,2014,Pop,Say Something,"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists"
96,95,Best Dance Recording,2014,Dance/Electronic Music,Rather be,Clean Bandit Featuring Jess Glynne
97,96,Best Rock Performance,2014,Rock,Lazaretto,"Jack White, Artist"
98,97,Best Metal Performance,2014,Rock,The Last in Line,"Tenacious d (Jack Black & Kyle Gass), Artists"
99,98,Best Rock Song,2014,Rock,Ain't it Fun,Paramore
100,99,Best R&B Performance,2014,R&B,Drunk in Love,"Beyoncé & Jay Z, Artists (Beyoncé Featuring Jay z)"
101,100,Best Traditional R&B Performance,2014,R&B,Jesus Children,"Lalah Hathaway, Robert Glasper Experiment (Casey Benjamin, Mark Colenburg, Robert Glasper & Derrick Hodge) & Malcolm-Jamal Warner, Artists"
102,101,Best R&B Song,2014,R&B,Drunk in Love,
105,104,Best Country Solo Performance,2014,Country,Something in the Water,"Carrie Underwood, Artist"
106,105,Best Country Duo/Group Performance,2014,Country,Gentle on My Mind,"The Band Perry (Kimberly Perry, Neil Perry & Reid Perry), Artists"
108,107,Best Improvised Jazz Solo,2014,Jazz,Fingerprints,"Chick Corea, Soloist"
109,108,Best Gospel Performance/Song,2014,Gospel/Contemporary Christian Music,No Greater Love,Smokie Norful
110,109,Best Contemporary Christian Music Performance/Song,2014,Gospel/Contemporary Christian Music,Messengers,Lecrae Featuring for King & Country
111,110,Best American Roots Performance,2014,American Roots Music,a Feather's not a Bird,"Rosanne Cash, Artist"
112,111,Best American Roots Song,2014,American Roots Music,a Feather's not a Bird,
114,113,Record Of The Year,2013,General,Get Lucky,Daft punk featuring Pharrell Williams & Nile Rodgers
115,114,Song Of The Year,2013,General,Royals,
116,115,Best Pop Solo Performance,2013,Pop,Royals,Lorde
117,116,Best Pop Duo/Group Performance,2013,Pop,Get Lucky,Daft punk featuring Pharrell Williams & Nile Rodgers
118,117,Best Dance Recording,2013,Dance/Electronic Music,Clarity,Zedd Featuring Foxes
119,118,Best Rock Performance,2013,Rock,Radioactive,Imagine Dragons
120,119,Best Metal Performance,2013,Rock,God is Dead?,Black Sabbath
121,120,Best Rock Song,2013,Rock,Cut Me some Slack,
122,121,Best R&B Performance,2013,R&B,Something,Snarky Puppy with Lalah Hathaway
123,122,Best Traditional R&B Performance,2013,R&B,Please Come Home,Gary Clark Jr
124,123,Best R&B Song,2013,R&B,Pusher Love Girl,
125,124,Best Rap Performance,2013,Rap,Thrift Shop,Macklemore & Ryan lewis featuring Wanz
126,125,Best Rap Song,2013,Rap,Thrift Shop,
128,127,Best Country Duo/Group Performance,2013,Country,From this Valley,The Civil Wars
129,128,Best Country Song,2013,Country,Merry Go 'Round,
130,129,Best Improvised Jazz Solo,2013,Jazz,Orbits,"Wayne Shorter, Soloist"
131,130,Best American Roots Song,2013,American Roots Music,Love Has Come for you,
132,131,Best Song Written For Visual Media,2013,Composing/Arranging,Skyfall,
133,132,Record Of The Year,2012,General,Somebody that i Used to Know,Gotye Featuring Kimbra
134,133,Song Of The Year,2012,General,We are Young,Fun Featuring Janelle Monáe
136,135,Best Pop Duo/Group Performance,2012,Pop,Somebody that i Used to Know,Gotye Featuring Kimbra
137,136,Best Dance Recording,2012,Dance/Electronic Music,Bangarang,skrillex featuring Sirah
138,137,Best Rock Performance,2012,Rock,Lonely Boy,The Black Keys
139,138,Best Rock Song,2012,Rock,Lonely Boy,The Black Keys
141,140,Best Traditional R&B Performance,2012,R&B,Love on Top,beyoncé
143,142,Best Rap Performance,2012,Rap,N****s in Paris,Jay-z & Kanye West
144,143,Best Rap Song,2012,Rap,N****s in Paris,"Wa. Donaldson, Songwriter) (Jay-z & Kanye West"
146,145,Best Country Duo/Group Performance,2012,Country,Pontoon,Little Big Town
148,147,Best Improvised Jazz Solo,2012,Jazz,Hot House,"Chick Corea, Soloists"
149,148,Best Song Written For Visual Media,2012,Composing/Arranging,Safe & Sound (from the Hunger Games),
153,152,Best Pop Duo/Group Performance,2011,Pop,Body and Soul,Tony Bennett & Amy Winehouse
154,153,Best Dance Recording,2011,Dance/Electronic Music,Scary Monsters and Nice Sprites,Skrillex
155,154,Best Rock Performance,2011,Rock,Walk,Foo Fighters
156,155,Best Rock Song,2011,Rock,Walk,Foo Fighters
158,157,Best Traditional R&B Performance,2011,R&B,Fool for you,Cee Lo Green & Melanie Fiona
159,158,Best R&B Song,2011,R&B,Fool for you,Cee Lo Green & Melanie Fiona
160,159,Best Rap Performance,2011,Rap,Otis,Jay-z & Kanye West
161,160,Best Rap Song,2011,Rap,all of the Lights,"Kanye West, Rihanna, Kid Cudi & Fergie"
163,162,Best Country Duo/Group Performance,2011,Country,Barton Hollow,The Civil Wars
165,164,Best Improvised Jazz Solo,2011,Jazz,500 Miles High,"Chick Corea, Soloist"
166,165,Best Song Written For Visual Media,2011,Composing/Arranging,i See the Light (from Tangled),Mandy Moore & Zachary Levi
167,166,Record Of The Year,2010,General,Need you Now,Lady Antebellum
168,167,Song Of The Year,2010,General,Need you Now,Lady Antebellum
171,170,Best Pop Performance By A Duo Or Group With Vocals,2010,Pop,"Hey, Soul Sister (Live)",Train
172,171,Best Pop Collaboration With Vocals,2010,Pop,Imagine,"Herbie Hancock, Pink, Indiaarie, Seal, Konono No 1, Jeff Beck & Oumou Sangare"
174,173,Best Hard Rock Performance,2010,Rock,New Fang,Them Crooked Vultures
175,174,Best Metal Performance,2010,Rock,El Dorado,Iron Maiden
176,175,Best Rock Song,2010,Rock,Angry World,Neil Young
180,179,Best Urban/Alternative Performance,2010,R&B,Fuck you,Cee Lo Green
181,180,Best R&B Song,2010,R&B,Shine,John Legend & the Roots
183,182,Best Rap Performance By A Duo Or Group,2010,Rap,On to the Next One,Jay-z & Swizz Beatz
184,183,Best Rap Song,2010,Rap,Empire State of Mind,"Burt Keyes & Sylvia Robinson, Songwriters"
187,186,Best Country Song,2010,Country,Need you Now,Lady Antebellum
188,187,Best Improvised Jazz Solo,2010,Jazz,a Change is Gonna Come,"Herbie Hancock, Soloist"
